,UNIQUE_ID,ROUTE_NAM,STREET_NAM,TPL_TYPE,STATUS,LENGTH,YEAR_CONST,DIRECTION,STREET_TYP,POINT_X,POINT_Y,newLong,newLat
4757,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496392.564456637,5456546.43262236,-123.0495808867461,49.26167174475983
4758,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496392.8900681669,5456481.433437927,-123.04957582583026,49.261087065767924
4759,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496393.21567969676,5456416.43425349,-123.04957076503916,49.26050238671625
4760,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496393.5412912294,5456351.435069056,-123.0495657043727,49.25991770760487
4761,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496393.86690276023,5456286.435884623,-123.049560643831,49.25933302843375
4762,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496394.1925142929,5456221.4367001895,-123.04955558341398,49.25874834920288
4763,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496394.3173550181,5456156.436827034,-123.04955328232906,49.25816366253372
4764,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496394.347685514,5456091.436872151,-123.04955228015123,49.25757897451281
4765,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496394.3170644166,5456026.43687938,-123.04955211564605,49.256994285732326
4766,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496394.2923943298,5455961.436884237,-123.04955186936743,49.25640959690612
4767,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496394.26286723744,5455896.436891094,-123.04955168984698,49.25582490800978
4768,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496394.23887340724,5455831.436895624,-123.04955143429618,49.255240219065634
4769,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496394.2140393425,5455766.4369005,-123.04955119030318,49.254655530060184
4770,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496394.28847919963,5455701.436973976,-123.04954958210291,49.254070842197386
4771,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496393.1600755444,5455636.446947897,-123.04956450327353,49.253486236241834
4772,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496392.1917357007,5455571.454376059,-123.04957722453454,49.25290160826923
4773,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496391.3997418247,5455506.4592017215,-123.04958752222252,49.2523169578659
4774,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496390.6292194715,5455441.46376884,-123.0495975246231,49.25173230520325
4775,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496389.86340716016,5455376.468280375,-123.04960746207068,49.251147652008136
4776,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496389.22720000055,5455322.3149,-123.04961571612093,49.25066052667237
4777,453,Sunrise,Kaslo,Local Street,Active,814,1998,NS,Residential,496603.87480000034,5459115.272900002,-123.04669842869079,49.284780149784275
4778,453,Sunrise,Kaslo,Local Street,Active,814,1998,NS,Residential,496603.7586355731,5459050.273006257,-123.04669947384876,49.28419546417208
4779,453,Sunrise,Kaslo,Local Street,Active,814,1998,NS,Residential,496603.66245337017,5458985.273103615,-123.04670024422775,49.28361077853145
4780,453,Sunrise,Kaslo,Local Street,Active,814,1998,NS,Residential,496603.601575573,5458920.273135163,-123.04670052915688,49.28302609243555
4781,453,Sunrise,Kaslo,Local Street,Active,814,1998,NS,Residential,496603.43755622674,5458855.27336284,-123.04670223226636,49.28244140747123
4782,453,Sunrise,Kaslo,Local Street,Active,814,1998,NS,Residential,496603.3544797944,5458790.273420988,-123.04670282239942,49.2818567213723
4783,453,Sunrise,Kaslo,Local Street,Active,814,1998,NS,Residential,496603.22326344345,5458725.273554478,-123.04670407442491,49.28127203562409
4784,453,Sunrise,Kaslo,Local Street,Active,814,1998,NS,Residential,496603.1519494457,5458660.273607343,-123.04670450280592,49.28068734942406
4785,453,Sunrise,Kaslo,Local Street,Active,814,1998,NS,Residential,496603.0264500631,5458595.273731897,-123.04670567618784,49.280102663508295
4786,453,Sunrise,Kaslo,Local Street,Active,814,1998,NS,Residential,496602.9480708111,5458530.273779605,-123.0467062016899,49.27951797710367
4787,453,Sunrise,Kaslo,Local Street,Active,814,1998,NS,Residential,496602.88965300843,5458465.273806175,-123.04670645273676,49.278933290560374
4788,453,Sunrise,Kaslo,Local Street,Active,814,1998,NS,Residential,496602.81571210455,5458400.27385246,-123.04670691720534,49.278348604048674
4789,453,Sunrise,Kaslo,Local Street,Active,814,1998,NS,Residential,496602.7476594709,5458335.273889527,-123.04670730071253,49.277763917427315
4790,453,Sunrise,Kaslo,Local Street,Active,814,1998,NS,Residential,496602.70390000194,5458300.978599999,-123.0467076110309,49.27745542492281
4791,454,Sunrise,Slocan,Local Street,Active,671,1998,NS,Sec Arterial,496389.22720000055,5455322.3149,-123.04961571612093,49.25066052667237
