CoV ID,Collision Time Range,Collision Date,Modes,Injury Type,Age,Gender,Latitude,Longitude
3288,18:00-20:59,9/13/2011,Veh-Ped,Severe,0-19,F,49.23594287,-123.042316
3308,15:00-17:59,9/20/2011,Veh-Ped,Severe,70+,M,49.2767836,-123.0792923
3342,,10/1/2011,Cyl-Cyl,Severe,20-29,M,49.28117423,-123.0617014
3351,,10/4/2011,Ped-Unk,Severe,60-69,M,49.26245815,-123.0871778
3356,18:00-20:59,10/5/2011,Single Cyl,Severe,40-49,M,49.26384757,-123.1541125
3387,3:00-5:59,10/16/2011,Cyl-Unk,Severe,20-29,F,49.22918257,-123.0906613
3418,18:00-20:59,10/28/2011,Veh-Ped,Severe,20-29,F,49.28201065,-123.109759
3442,9:00-11:59,11/3/2011,Cyl-Unk,Severe,30-39,M,49.22900964,-123.0771656
3444,21:00-23:59,11/3/2011,Cyl-Unk,Severe,60-69,M,49.22925243,-123.1267992
3449,6:00-8:59,11/4/2011,Veh-Ped,Severe,70+,F,49.25881356,-123.1200391
3450,,11/4/2011,Veh-Ped,Severe,70+,F,49.27156176,-123.13456
3490,,11/12/2011,Veh-Cyl,Severe,40-49,F,49.24848074,-123.0761522
3493,,11/22/2011,Veh-Ped,Severe,30-39,F,49.24030608,-123.0903465
3498,21:00-23:59,11/23/2011,Veh-Ped,Severe,40-49,F,49.23360486,-123.1555968
3500,18:00-20:59,11/24/2011,Veh-Ped,Severe,20-29,F,49.2695682,-123.0657536
3534,0:00-2:59,12/13/2011,Veh-Ped,Severe,60-69,F,49.26927399,-123.1065726
3553,12:00-14:59,12/27/2011,Veh-Cyl,Severe,20-29,M,49.28592821,-123.1168091
3559,,12/30/2011,Cyl-Unk,Severe,50-59,M,49.21716377,-123.0659592
3563,3:00-5:59,1/1/2012,Veh-Ped,Severe,30-39,M,49.21845771,-123.1018948
3573,21:00-23:59,1/6/2012,Veh-Cyl,Severe,30-39,M,49.23466491,-123.1613373
3578,9:00-11:59,1/7/2012,Single Cyl,Severe,70+,M,49.25372045,-123.0899652
3599,9:00-11:59,1/15/2012,Veh-Ped,Severe,50-59,M,49.23111072,-123.0431081
3609,18:00-20:59,1/20/2012,Veh-Ped,Severe,40-49,M,49.26434787,-123.1848213
